code,day,return
003670,2017-07-28,-0.03674943992405568
003670,2017-07-31,-0.0024317156542171363
003670,2017-08-01,0.08584549559169388
003670,2017-08-02,-0.01981042821611156
003670,2017-08-03,0.01117977706659127
003670,2017-08-04,0.04204811541125015
003670,2017-08-07,-0.0553597322131141
003670,2017-08-08,0.04275879447715832
003670,2017-08-09,-0.06052245400849947
003670,2017-08-10,0.03213219155938925
003670,2017-08-11,-0.028997682570391405
003670,2017-08-14,-4.936986301369863e-05
003670,2017-08-16,0.03894914771785454
003670,2017-08-17,0.002161354501991005
003670,2017-08-18,0.11226185074941608
003670,2017-08-21,-0.015871634125195076
003670,2017-08-22,0.028117832709333566
003670,2017-08-23,0.015587357682645544
003670,2017-08-24,0.04425001019200129
003670,2017-08-25,-0.02953376820254757
